,book,file
0,Selections from the Writings of ‘Abdu’l‑Bahá,database/selections_from_the_writings_of_abdulbaha.csv
1,‘Abdu’l‑Bahá’s Tablets to The Hague,database/tablets_to_the_hague.csv
2,‘Abdu’l‑Bahá’s Tablets to The Hague | Tablet 1,database/tablets_to_the_hague.csv
3,‘Abdu’l‑Bahá’s Tablets to The Hague | Tablet 2,database/tablets_to_the_hague.csv
4,epistle-to-the-son-of-the-wolf,database/epistle-to-the-son-of-the-wolf.csv
5,The Secret of Divine Civilization,database/secret_of_divine_civilization.csv
6,kitab-i-iqan-part1,database/kitab-i-iqan-part1.csv
7,Gems of Divine Mysteries,database/gems-of-divine-mysteries.csv
8,The Advent of Divine Justice,database/the_advent_of_divine_justice.csv
9,kitab-i-iqan-part2,database/kitab-i-iqan-part2.csv
10,Seven Valleys,database/seven_valleys.csv
11,Some Answered Questions,database/some_answered_questions.csv
12,Promulagation of World Peace,database/promulagation_of_world_peace.csv
13,The Promised Day is Come,database/the_promised_day_is_come.csv
14,Tablets of the Divine Plan,database/tablets_of_the_divine_plan.csv
15,Tablet to Dr. Auguste Forel,database/tablet_to_dr_auguste_forel.csv
16,hidden-words-persian,database/hidden-words-persian.csv
17,kitab-i-aqdas,database/kitab-i-aqdas.csv
18,Selections from the Writings of the Báb,database/selections_from_the_writings_of_the_bab.csv
19,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” ,database/selections_from_the_writings_of_the_bab.csv
20,Selections from the Writings of the Báb -  A Second Tablet Addressed to “Him Who Will Be Made Manifest” ,database/selections_from_the_writings_of_the_bab.csv
21,Selections from the Writings of the Báb -  Extracts from Another Epistle to Muḥammad Sháh ,database/selections_from_the_writings_of_the_bab.csv
22,Selections from the Writings of the Báb -  Extracts from a Further Epistle to Muḥammad Sháh ,database/selections_from_the_writings_of_the_bab.csv
23,Selections from the Writings of the Báb -  2 Excerpts from the Qayyúmu’l-Asmá’ ,database/selections_from_the_writings_of_the_bab.csv
24,Selections from the Writings of the Báb -  3 Excerpts from the Persian Bayán ,database/selections_from_the_writings_of_the_bab.csv
25,Selections from the Writings of the Báb -  4 Excerpts from the Dalá’il-i-Sab‘ih (The Seven Proofs) ,database/selections_from_the_writings_of_the_bab.csv
26,Selections from the Writings of the Báb -  5 Excerpts from the Kitáb-i-Asmá’ (The Book of Names) ,database/selections_from_the_writings_of_the_bab.csv
27,"Selections from the Writings of the Báb -  6 Excerpts from Various Writings Say, God is the Lord and all are worshippers unto Him. ",database/selections_from_the_writings_of_the_bab.csv
28,"Selections from the Writings of the Báb -  7 Prayers and Meditations In the Name of God, the Lord of overpowering majesty, the All-Compelling. ",database/selections_from_the_writings_of_the_bab.csv
29,"Selections from the Writings of the Báb -  He is God, the Sovereign Ruler, the Ever-Living, He Whose help all men implore. ",database/selections_from_the_writings_of_the_bab.csv
30,Paris Talks,database/paris_talks.csv
31,Will and Testament of ‘Abdu’l‑Bahá,database/will_and_testament_of_abdulbaha.csv
32,Will and Testament of ‘Abdu’l‑Bahá | Part 1,database/will_and_testament_of_abdulbaha.csv
33,Will and Testament of ‘Abdu’l‑Bahá | Part 2,database/will_and_testament_of_abdulbaha.csv
34,Will and Testament of ‘Abdu’l‑Bahá | Part 3,database/will_and_testament_of_abdulbaha.csv
35,kitab-i-aqdas-notes,database/kitab-i-aqdas-notes.csv
36,kitab-i-aqdas-q-and-a,database/kitab-i-aqdas-q-and-a-combined.csv
37,hidden-words-arabic,database/hidden-words-arabic.csv
38,From the Letter Ba to the Letter Ha,database/from_the_letter_ba_to_the_letter_ha.csv
39,This Decisive Hour | Messages from Shoghi Effendi to the North American Bahá’ís 1932–1946,database/the_decisive_hour.csv
40,prayers and meditations by bahaullah,database/prayers_and_meditation_by_bahaullah.csv
41,tablets-of-bahaullah,database/tablets-of-bahaullah.csv
42,Lawḥ-i-Karmil,database/tablets-of-bahaullah.csv
43,Lawḥ-i-Aqdas,database/tablets-of-bahaullah.csv
44,Bishárát,database/tablets-of-bahaullah.csv
45,Ṭarázát,database/tablets-of-bahaullah.csv
46,Tajallíyát,database/tablets-of-bahaullah.csv
47,Kalimát-i-Firdawsíyyih,database/tablets-of-bahaullah.csv
48,Lawḥ-i-Dunyá,database/tablets-of-bahaullah.csv
49,Ishráqát,database/tablets-of-bahaullah.csv
50,Lawḥ-i-Ḥikmat,database/tablets-of-bahaullah.csv
51,Aṣl-i-Kullu’l-Khayr1,database/tablets-of-bahaullah.csv
52,Lawḥ-i-Maqṣúd,database/tablets-of-bahaullah.csv
53,Súriy-i-Vafá1,database/tablets-of-bahaullah.csv
54,Lawḥ-i-Síyyid-i-Mihdíy-i-Dahají,database/tablets-of-bahaullah.csv
55,Lawḥ-i-Burhán,database/tablets-of-bahaullah.csv
56,Kitáb-i-‘Ahd,database/tablets-of-bahaullah.csv
57,Lawḥ-i-Arḍ-i-Bá,database/tablets-of-bahaullah.csv
58,Excerpts from Other Tablets,database/tablets-of-bahaullah.csv
59,Light of the World - Selected Tablets of Abdul-baha,database/light_of_the_world.csv
60,Baha'i Administration,database/bahai_administration.csv
61,Baha'i Administration | Excerpts from the Will and Testament of ‘Abdu’l-Bahá,database/bahai_administration.csv
62,"Baha'i Administration | Letter of January 21st, 1922.",database/bahai_administration.csv
63,"Baha'i Administration | Letter of March 5, 1922.",database/bahai_administration.csv
64,"Baha'i Administration | Letter of Circa May, 1922 (undated).",database/bahai_administration.csv
