,Text,Section,Book
0,Hidden Words Arabic,title,hidden-words-arabic
1,Translated by Shoghi Effendi with the assistance of some English friends,header1,hidden-words-arabic
2,"Part One
From the Arabic
He Is the Glory of Glories",header2,hidden-words-arabic
3,"This is that which hath descended from the realm of glory, uttered by the tongue of power and might, and revealed unto the Prophets of old. We have taken the inner essence thereof and clothed it in the garment of brevity, as a token of grace unto the righteous, that they may stand faithful unto the Covenant of God, may fulfill in their lives His trust, and in the realm of spirit obtain the gem of divine virtue.",intro,hidden-words-arabic
4,"O Son of Spirit!
My first counsel is this: Possess a pure, kindly and radiant heart, that thine may be a sovereignty ancient, imperishable and everlasting.",HW1,hidden-words-arabic
5,"O Son of Spirit!
The best beloved of all things in My sight is Justice; turn not away therefrom if thou desirest Me, and neglect it not that I may confide in thee. By its aid thou shalt see with thine own eyes and not through the eyes of others, and shalt know of thine own knowledge and not through the knowledge of thy neighbor. Ponder this in thy heart; how it behooveth thee to be. Verily justice is My gift to thee and the sign of My loving-kindness. Set it then before thine eyes.",HW2,hidden-words-arabic
6,"O Son of Man!
Veiled in My immemorial being and in the ancient eternity of My essence, I knew My love for thee; therefore I created thee, have engraved on thee Mine image and revealed to thee My beauty.",HW3,hidden-words-arabic
7,"O Son of Man!
I loved thy creation, hence I created thee. Wherefore, do thou love Me, that I may name thy name and fill thy soul with the spirit of life.",HW4,hidden-words-arabic
8,"O Son of Being!
Love Me, that I may love thee. If thou lovest Me not, My love can in no wise reach thee. Know this, O servant.",HW5,hidden-words-arabic
9,"O Son of Being!
Thy Paradise is My love; thy heavenly home, reunion with Me. Enter therein and tarry not. This is that which hath been destined for thee in Our kingdom above and Our exalted dominion.",HW6,hidden-words-arabic
10,"O Son of Man!
If thou lovest Me, turn away from thyself; and if thou seekest My pleasure, regard not thine own; that thou mayest die in Me and I may eternally live in thee.",HW7,hidden-words-arabic
11,"O Son of Spirit!
There is no peace for thee save by renouncing thyself and turning unto Me; for it behooveth thee to glory in My name, not in thine own; to put thy trust in Me and not in thyself, since I desire to be loved alone and above all that is.",HW8,hidden-words-arabic
12,"O Son of Being!
My love is My stronghold; he that entereth therein is safe and secure, and he that turneth away shall surely stray and perish.",HW9,hidden-words-arabic
13,"O Son of Utterance!
Thou art My stronghold; enter therein that thou mayest abide in safety. My love is in thee, know it, that thou mayest find Me near unto thee.",HW10,hidden-words-arabic
14,"O Son of Being!
Thou art My lamp and My light is in thee. Get thou from it thy radiance and seek none other than Me. For I have created thee rich and have bountifully shed My favor upon thee.",HW11,hidden-words-arabic
15,"O Son of Being!
With the hands of power I made thee and with the fingers of strength I created thee; and within thee have I placed the essence of My light. Be thou content with it and seek naught else, for My work is perfect and My command is binding. Question it not, nor have a doubt thereof.",HW12,hidden-words-arabic
16,"O Son of Spirit!
I created thee rich, why dost thou bring thyself down to poverty? Noble I made thee, wherewith dost thou abase thyself? Out of the essence of knowledge I gave thee being, why seekest thou enlightenment from anyone beside Me? Out of the clay of love I molded thee, how dost thou busy thyself with another? Turn thy sight unto thyself, that thou mayest find Me standing within thee, mighty, powerful and self-subsisting.",HW13,hidden-words-arabic
17,"O Son of Man!
Thou art My dominion and My dominion perisheth not; wherefore fearest thou thy perishing? Thou art My light and My light shall never be extinguished; why dost thou dread extinction? Thou art My glory and My glory fadeth not; thou art My robe and My robe shall never be outworn. Abide then in thy love for Me, that thou mayest find Me in the realm of glory.",HW14,hidden-words-arabic
18,"O Son of Utterance!
Turn thy face unto Mine and renounce all save Me; for My sovereignty endureth and My dominion perisheth not. If thou seekest another than Me, yea, if thou searchest the universe forevermore, thy quest will be in vain.",HW15,hidden-words-arabic
19,"O Son of Light!
Forget all save Me and commune with My spirit. This is of the essence of My command, therefore turn unto it.",HW16,hidden-words-arabic
20,"O Son of Man!
Be thou content with Me and seek no other helper. For none but Me can ever suffice thee.",HW17,hidden-words-arabic
21,"O Son of Spirit!
Ask not of Me that which We desire not for thee, then be content with what We have ordained for thy sake, for this is that which profiteth thee, if therewith thou dost content thyself.",HW18,hidden-words-arabic
22,"O Son of the Wondrous Vision!
I have breathed within thee a breath of My own Spirit, that thou mayest be My lover. Why hast thou forsaken Me and sought a beloved other than Me?",HW19,hidden-words-arabic
23,"O Son of Spirit!
My claim on thee is great, it cannot be forgotten. My grace to thee is plenteous, it cannot be veiled. My love has made in thee its home, it cannot be concealed. My light is manifest to thee, it cannot be obscured.",HW20,hidden-words-arabic
24,"O Son of Man!
Upon the tree of effulgent glory I have hung for thee the choicest fruits, wherefore hast thou turned away and contented thyself with that which is less good? Return then unto that which is better for thee in the realm on high.",HW21,hidden-words-arabic
25,"O Son of Spirit!
Noble have I created thee, yet thou hast abased thyself. Rise then unto that for which thou wast created.",HW22,hidden-words-arabic
26,"O Son of the Supreme!
To the eternal I call thee, yet thou dost seek that which perisheth. What hath made thee turn away from Our desire and seek thine own?",HW23,hidden-words-arabic
27,"O Son of Man!
Transgress not thy limits, nor claim that which beseemeth thee not. Prostrate thyself before the countenance of thy God, the Lord of might and power.",HW24,hidden-words-arabic
28,"O Son of Spirit!
Vaunt not thyself over the poor, for I lead him on his way and behold thee in thy evil plight and confound thee forevermore.",HW25,hidden-words-arabic
29,"O Son of Being!
How couldst thou forget thine own faults and busy thyself with the faults of others? Whoso doeth this is accursed of Me.",HW26,hidden-words-arabic
30,"O Son of Man!
Breathe not the sins of others so long as thou art thyself a sinner. Shouldst thou transgress this command, accursed wouldst thou be, and to this I bear witness.",HW27,hidden-words-arabic
31,"O Son of Spirit!
Know thou of a truth: He that biddeth men be just and himself committeth iniquity is not of Me, even though he bear My name.",HW28,hidden-words-arabic
32,"O Son of Being!
Ascribe not to any soul that which thou wouldst not have ascribed to thee, and say not that which thou doest not. This is My command unto thee, do thou observe it.",HW29,hidden-words-arabic
33,"O Son of Man!
Deny not My servant should he ask anything from thee, for his face is My face; be then abashed before Me.",HW30,hidden-words-arabic
34,"O Son of Being!
Bring thyself to account each day ere thou art summoned to a reckoning; for death, unheralded, shall come upon thee and thou shalt be called to give account for thy deeds.",HW31,hidden-words-arabic
35,"O Son of the Supreme!
I have made death a messenger of joy to thee. Wherefore dost thou grieve? I made the light to shed on thee its splendor. Why dost thou veil thyself therefrom?",HW32,hidden-words-arabic
36,"O Son of Spirit!
With the joyful tidings of light I hail thee: rejoice! To the court of holiness I summon thee; abide therein that thou mayest live in peace forevermore.",HW33,hidden-words-arabic
37,"O Son of Spirit!
The spirit of holiness beareth unto thee the joyful tidings of reunion; wherefore dost thou grieve? The spirit of power confirmeth thee in His cause; why dost thou veil thyself? The light of His countenance doth lead thee; how canst thou go astray?",HW34,hidden-words-arabic
38,"O Son of Man!
Sorrow not save that thou art far from Us. Rejoice not save that thou art drawing near and returning unto Us.",HW35,hidden-words-arabic
39,"O Son of Man!
Rejoice in the gladness of thine heart, that thou mayest be worthy to meet Me and to mirror forth My beauty.",HW36,hidden-words-arabic
40,"O Son of Man!
Divest not thyself of My beauteous robe, and forfeit not thy portion from My wondrous fountain, lest thou shouldst thirst forevermore.",HW37,hidden-words-arabic
41,"O Son of Being!
Walk in My statutes for love of Me and deny thyself that which thou desirest if thou seekest My pleasure.",HW38,hidden-words-arabic
42,"O Son of Man!
Neglect not My commandments if thou lovest My beauty, and forget not My counsels if thou wouldst attain My good pleasure.",HW39,hidden-words-arabic
43,"O Son of Man!
Wert thou to speed through the immensity of space and traverse the expanse of heaven, yet thou wouldst find no rest save in submission to Our command and humbleness before Our Face.",HW40,hidden-words-arabic
44,"O Son of Man!
Magnify My cause that I may reveal unto thee the mysteries of My greatness and shine upon thee with the light of eternity.",HW41,hidden-words-arabic
45,"O Son of Man!
Humble thyself before Me, that I may graciously visit thee. Arise for the triumph of My cause, that while yet on earth thou mayest obtain the victory.",HW42,hidden-words-arabic
