,Text,Section,Book
0,Hidden Words Persian,title,hidden-words-persian
1,"Part Two
From the Persian
In the Name of the Lord of Utterance, the Mighty.",header,hidden-words-persian
2,"O Ye People that Have Minds to Know and Ears to Hear!
The first call of the Beloved is this: O mystic nightingale! Abide not but in the rose garden of the spirit. O messenger of the Solomon of love! Seek thou no shelter except in the Sheba of the well-beloved, and O immortal phoenix! dwell not save on the mount of faithfulness. Therein is thy habitation, if on the wings of thy soul thou soarest to the realm of the infinite and seekest to attain thy goal.",HW1,hidden-words-persian
3,"O Son of Spirit!
The bird seeketh its nest; the nightingale the charm of the rose; whilst those birds, the hearts of men, content with transient dust, have strayed far from their eternal nest, and with eyes turned towards the slough of heedlessness are bereft of the glory of the divine presence. Alas! How strange and pitiful; for a mere cupful, they have turned away from the billowing seas of the Most High, and remained far from the most effulgent horizon.",HW2,hidden-words-persian
4,"O Friend!
In the garden of thy heart plant naught but the rose of love, and from the nightingale of affection and desire loosen not thy hold. Treasure the companionship of the righteous and eschew all fellowship with the ungodly.",HW3,hidden-words-persian
5,"O Son of Justice!
Whither can a lover go but to the land of his beloved? and what seeker findeth rest away from his heart’s desire? To the true lover reunion is life, and separation is death. His breast is void of patience and his heart hath no peace. A myriad lives he would forsake to hasten to the abode of his beloved.",HW4,hidden-words-persian
6,"O Son of Dust!
Verily I say unto thee: Of all men the most negligent is he that disputeth idly and seeketh to advance himself over his brother. Say: O brethren! Let deeds, not words, be your adorning.",HW5,hidden-words-persian
7,"O Son of Earth!
Know, verily, the heart wherein the least remnant of envy yet lingereth, shall never attain My everlasting dominion, nor inhale the sweet savors of holiness breathing from My kingdom of sanctity.",HW6,hidden-words-persian
8,"O Son of Love!
Thou art but one step away from the glorious heights above and from the celestial tree of love. Take thou one pace and with the next advance into the immortal realm and enter the pavilion of eternity. Give ear then to that which hath been revealed by the Pen of Glory.",HW7,hidden-words-persian
9,"O Son of Glory!
Be swift in the path of holiness, and enter the heaven of communion with Me. Cleanse thy heart with the burnish of the spirit, and hasten to the court of the Most High.",HW8,hidden-words-persian
10,"O Fleeting Shadow!
Pass beyond the baser stages of doubt and rise to the exalted heights of certainty. Open the eye of truth, that thou mayest behold the veilless Beauty and exclaim: Hallowed be the Lord, the most excellent of all creators!",HW9,hidden-words-persian
11,"O Son of Desire!
Give ear unto this: Never shall mortal eye recognize the everlasting Beauty, nor the lifeless heart delight in aught but in the withered bloom. For like seeketh like, and taketh pleasure in the company of its kind.",HW10,hidden-words-persian
12,"O Son of Dust!
Blind thine eyes, that thou mayest behold My beauty; stop thine ears, that thou mayest hearken unto the sweet melody of My voice; empty thyself of all learning, that thou mayest partake of My knowledge; and sanctify thyself from riches, that thou mayest obtain a lasting share from the ocean of My eternal wealth. Blind thine eyes, that is, to all save My beauty; stop thine ears to all save My word; empty thyself of all learning save the knowledge of Me; that with a clear vision, a pure heart and an attentive ear thou mayest enter the court of My holiness.",HW11,hidden-words-persian
13,"O Man of Two Visions!
Close one eye and open the other. Close one to the world and all that is therein, and open the other to the hallowed beauty of the Beloved.",HW12,hidden-words-persian
14,"O My Children!
I fear lest, bereft of the melody of the dove of heaven, ye will sink back to the shades of utter loss, and, never having gazed upon the beauty of the rose, return to water and clay.",HW13,hidden-words-persian
15,"O Friends!
Abandon not the everlasting beauty for a beauty that must die, and set not your affections on this mortal world of dust.",HW14,hidden-words-persian
16,"O Son of Spirit!
The time cometh, when the nightingale of holiness will no longer unfold the inner mysteries and ye will all be bereft of the celestial melody and of the voice from on high.",HW15,hidden-words-persian
17,"O Essence of Negligence!
Myriads of mystic tongues find utterance in one speech, and myriads of hidden mysteries are revealed in a single melody; yet, alas, there is no ear to hear, nor heart to understand.",HW16,hidden-words-persian
18,"O Comrades!
The gates that open on the Placeless stand wide and the habitation of the loved one is adorned with the lovers’ blood, yet all but a few remain bereft of this celestial city, and even of these few, none but the smallest handful hath been found with a pure heart and sanctified spirit.",HW17,hidden-words-persian
