,Text,Section,Book
0,Kitab-i-Aqdas-Notes,Title,kitab-i-aqdas-notes
1,"1.the sweet-smelling savor of My garment ¶4

This is an allusion to the story of Joseph in the Qur’án and the Old Testament, in which Joseph’s garment, brought by his brothers to Jacob, their father, enabled Jacob to identify his beloved long-lost son. The metaphor of the fragrant “garment” is frequently used in the Bahá’í Writings to refer to the recognition of the Manifestation of God and His Revelation.

Bahá’u’lláh, in one of His Tablets, describes Himself as the “Divine Joseph” Who has been “bartered away” by the heedless “for the most paltry of prices.” The Báb, in the Qayyúmu’l-Asmá’, identifies Bahá’u’lláh as the “true Joseph” and forecasts the ordeals that He would endure at the hands of His treacherous brother (see note 190). Likewise, Shoghi Effendi draws a parallel between the intense jealousy which the preeminence of ‘Abdu’l‑Bahá had aroused in His half-brother, Mírzá Muḥammad-‘Alí, and the deadly envy “which the superior excellence of Joseph had kindled in the hearts of his brothers.”
",N1,kitab-i-aqdas-notes
2,"2.We have unsealed the choice Wine with the fingers of might and power. ¶5

The consumption of wine and other intoxicants is prohibited in the Kitáb-i-Aqdas (see notes 144 and 170).

Reference to the use of “wine” in an allegorical sense—such as being the cause of spiritual ecstasy—is found, not only in the Revelation of Bahá’u’lláh, but in the Bible, in the Qur’án, and in ancient Hindu traditions.

For example, in the Qur’án the righteous are promised that they will be given to drink of the “choice sealed wine.” In His Tablets, Bahá’u’lláh identifies the “choice Wine” with His Revelation whose “musk-laden fragrance” has been wafted “upon all created things.” He states that He has “unsealed” this “Wine,” thereby disclosing spiritual truths that were hitherto unknown, and enabling those who quaff thereof to “discern the splendors of the light of divine unity” and to “grasp the essential purpose underlying the Scriptures of God.”

In one of His meditations, Bahá’u’lláh entreats God to supply the believers with “the choice Wine of Thy mercy, that it may cause them to be forgetful of anyone except Thee, and to arise to serve Thy Cause, and to be steadfast in their love for Thee.”
",N2,kitab-i-aqdas-notes
3,"3.We have enjoined obligatory prayer upon you ¶6

In Arabic, there are several words for prayer. The word “ṣalát,” which appears here in the original, refers to a particular category of prayers, the recitation of which at specific times of the day is enjoined on the believers. To differentiate this category of prayers from other kinds, the word has been translated as “obligatory prayer.”

Bahá’u’lláh states that “obligatory prayer and fasting occupy an exalted station in the sight of God” (Q&A 93). ‘Abdu’l‑Bahá affirms that such prayers are “conducive to humility and submissiveness, to setting one’s face towards God and expressing devotion to Him,” and that through these prayers “man holdeth communion with God, seeketh to draw near unto Him, converseth with the true Beloved of his heart, and attaineth spiritual stations.”

The Obligatory Prayer (see note 9) referred to in this verse has been superseded by the three Obligatory Prayers later revealed by Bahá’u’lláh (Q&A 63). The texts of the three prayers currently in use, together with instructions regarding their recital, are to be found in this volume in Some Texts Supplementary to the Kitáb-i-Aqdas.

A number of the items in Questions and Answers deal with aspects of the three new Obligatory Prayers. Bahá’u’lláh clarifies that the individual is permitted to choose any one of the three Obligatory Prayers (Q&A 65). Other provisions are elucidated in Questions and Answers, numbers 66, 67, 81, and 82.

The details of the law concerning obligatory prayer are summarized in section IV.A.1.–17. of the Synopsis and Codification.
",N3,kitab-i-aqdas-notes
4,"4.nine rak‘ahs ¶6

A rak‘ah is the recitation of specifically revealed verses accompanied by a prescribed set of genuflections and other movements.

The Obligatory Prayer originally enjoined by Bahá’u’lláh upon His followers consisted of nine rak‘ahs. The precise nature of this prayer and the specific instructions for its recitation are unknown, as the prayer has been lost. (See note 9.)

In a Tablet commenting on the presently binding Obligatory Prayers, ‘Abdu’l‑Bahá indicates that “in every word and movement of the Obligatory Prayer there are allusions, mysteries and a wisdom that man is unable to comprehend, and letters and scrolls cannot contain.”

Shoghi Effendi explains that the few simple directions given by Bahá’u’lláh for the recital of certain prayers not only have a spiritual significance but that they also help the individual “to fully concentrate when praying and meditating.”
",N4,kitab-i-aqdas-notes
5,"5.at noon and in the morning and the evening ¶6

Regarding the definition of the words “morning,” “noon” and “evening,” at which times the currently binding medium Obligatory Prayer is to be recited, Bahá’u’lláh has stated that these coincide with “sunrise, noon and sunset” (Q&A 83). He specifies that the “allowable times for Obligatory Prayers are from morning till noon, from noon till sunset, and from sunset till two hours thereafter.” Further, ‘Abdu’l‑Bahá has stated that the morning Obligatory Prayer may be said as early as dawn.

The definition of “noon” as the period “from noon till sunset” applies to the recitation of the short Obligatory Prayer as well as the medium one.
",N5,kitab-i-aqdas-notes
6,"6.We have relieved you of a greater number ¶6

The requirements for obligatory prayer called for in the Bábí and Islamic Dispensations were more demanding than those for the performance of the Obligatory Prayer consisting of nine rak‘ahs that was prescribed in the Kitáb-i-Aqdas (see note 4).

In the Bayán, the Báb prescribed an Obligatory Prayer consisting of nineteen rak‘ahs which was to be performed once in a twenty-four-hour period—from noon of one day to noon of the next.

The Muslim prayer is recited five times a day, namely, in the early morning, at midday, in the afternoon and evening, and at night. While the number of rak‘ahs varies according to the time of recitation, a total of seventeen rak‘ahs are offered in the course of a day.
",N6,kitab-i-aqdas-notes
7,"7.When ye desire to perform this prayer, turn ye towards the Court of My Most Holy Presence, this Hallowed Spot that God hath … decreed to be the Point of Adoration for the denizens of the Cities of Eternity ¶6

The “Point of Adoration,” that is, the point to which the worshiper should turn when offering obligatory prayer, is called the Qiblih. The concept of Qiblih has existed in previous religions. Jerusalem in the past had been fixed for this purpose. Muḥammad changed the Qiblih to Mecca. The Báb’s instructions in the Arabic Bayán were:

The Qiblih is indeed He Whom God will make manifest; whenever He moveth, it moveth, until He shall come to rest.

This passage is quoted by Bahá’u’lláh in the Kitáb-i-Aqdas (¶137) and confirmed by Him in the above-noted verse. He has also indicated that facing in the direction of the Qiblih is a “fixed requirement for the recitation of obligatory prayer” (Q&A 14 and 67). However, for other prayers and devotions the individual may face in any direction.
",N7,kitab-i-aqdas-notes
8,"8.and when the Sun of Truth and Utterance shall set, turn your faces towards the Spot that We have ordained for you ¶6

Bahá’u’lláh ordains His resting-place as the Qiblih after His passing. The Most Holy Tomb is at Bahjí, ‘Akká. ‘Abdu’l‑Bahá describes that Spot as the “luminous Shrine,” “the place around which circumambulate the Concourse on high.”

In a letter written on his behalf, Shoghi Effendi uses the analogy of the plant turning in the direction of the sun to explain the spiritual significance of turning towards the Qiblih:

… just as the plant stretches out to the sunlight—from which it receives life and growth—so we turn our hearts to the Manifestation of God, Bahá’u’lláh, when we pray; … we turn our faces … to where His dust lies on this earth as a symbol of the inner act.
",N8,kitab-i-aqdas-notes
9,"9.We have set forth the details of obligatory prayer in another Tablet. ¶8

The original Obligatory Prayer had “for reasons of wisdom” been revealed by Bahá’u’lláh in a separate Tablet (Q&A 63). It was not released to the believers in His lifetime, having been superseded by the three Obligatory Prayers now in use.

Shortly after the Ascension of Bahá’u’lláh, the text of this prayer, along with a number of other Tablets, was stolen by Muḥammad-‘Alí, the Arch-breaker of His Covenant.
",N9,kitab-i-aqdas-notes
10,"10.the Prayer for the Dead ¶8

The Prayer for the Dead (see Some Texts Supplementary to the Kitáb-i-Aqdas) is the only Bahá’í obligatory prayer which is to be recited in congregation; it is to be recited by one believer while all present stand in silence (see note 19). Bahá’u’lláh has clarified that the Prayer for the Dead is required only when the deceased is an adult (Q&A 70), that the recital should precede the interment of the deceased, and that there is no requirement to face the Qiblih when saying this prayer (Q&A 85).

Further details concerning the Prayer for the Dead are summarized in the Synopsis and Codification, section IV.A. 13.–14.
",N10,kitab-i-aqdas-notes
11,"11.six specific passages have been sent down by God, the Revealer of Verses ¶8

The passages that form part of the Prayer for the Dead comprise the repetition of the greeting “Alláh-u-Abhá” (God is the All-Glorious) six times, each followed by nineteen repetitions of one of six specifically revealed verses. These verses are identical with those in the Prayer for the Dead revealed by the Báb in the Bayán. Bahá’u’lláh added a supplication to precede these passages.
",N11,kitab-i-aqdas-notes
12,"12.Hair doth not invalidate your prayer, nor aught from which the spirit hath departed, such as bones and the like. Ye are free to wear the fur of the sable as ye would that of the beaver, the squirrel, and other animals ¶9

In some earlier religious Dispensations, the wearing of the hair of certain animals or having certain other objects on one’s person was held to invalidate one’s prayer. Bahá’u’lláh here confirms the Báb’s pronouncement in the Arabic Bayán that such things do not invalidate one’s prayer.
",N12,kitab-i-aqdas-notes
13,"13.We have commanded you to pray and fast from the beginning of maturity ¶10

Bahá’u’lláh defines the “age of maturity with respect to religious duties” as “fifteen for both men and women” (Q&A 20). For details of the period of fasting, see note 25.
",N13,kitab-i-aqdas-notes
14,"14.He hath exempted from this those who are weak from illness or age ¶10

The exemption of those who are weak due to illness or advanced age from offering the Obligatory Prayers and from fasting is explained in Questions and Answers. Bahá’u’lláh indicates that in “time of ill health it is not permissible to observe these obligations” (Q&A 93). He defines old age, in this context, as being from seventy (Q&A 74). In answer to a question, Shoghi Effendi has clarified that people who attain the age of seventy are exempt, whether or not they are weak.

Exemption from fasting is also granted to the other specific categories of people listed in the Synopsis and Codification, section IV.B.5. See notes 20, 30 and 31 for additional discussion.
",N14,kitab-i-aqdas-notes
15,"15.God hath granted you leave to prostrate yourselves on any surface that is clean, for We have removed in this regard the limitation that had been laid down in the Book ¶10

The requirements of prayer in previous Dispensations have often included prostration. In the Arabic Bayán the Báb called upon the believers to lay their foreheads on surfaces of crystal when prostrating. Similarly, in Islám, certain restrictions are imposed with regard to the surface on which Muslims are permitted to prostrate. Bahá’u’lláh abrogates such restrictions and simply specifies “any surface that is clean.”
",N15,kitab-i-aqdas-notes
16,"16.Let him that findeth no water for ablution repeat five times the words “In the Name of God, the Most Pure, the Most Pure,” and then proceed to his devotions. ¶10

Ablutions are to be performed by the believer in preparation for the offering of obligatory prayer. They consist of washing the hands and face. If water is unavailable, the repetition five times of the specifically revealed verse is prescribed. See note 34 for a general discussion of ablutions.

Antecedents in earlier Dispensations for the provision of substitute procedures to be followed when no water is available are found in the Qur’án and in the Arabic Bayán.
",N16,kitab-i-aqdas-notes
17,"17.In regions where the days and nights grow long, let times of prayer be gauged by clocks and other instruments that mark the passage of the hours. ¶10

This refers to territories situated in the extreme north or south, where the duration of days and nights varies markedly (Q&A 64 and 103). This provision applies also to fasting.
",N17,kitab-i-aqdas-notes
18,"18.We have absolved you from the requirement of performing the Prayer of the Signs. ¶11

The Prayer of the Signs is a special form of Muslim obligatory prayer that was ordained to be said in times of natural events, like earthquakes, eclipses, and other such phenomena, which may cause fear and are taken to be signs or acts of God. The requirement of performing this prayer has been annulled. In its place a Bahá’í may say, “Dominion is God’s, the Lord of the seen and the unseen, the Lord of creation,” but this is not obligatory (Q&A 52).
",N18,kitab-i-aqdas-notes
19,"19.Save in the Prayer for the Dead, the practice of congregational prayer hath been annulled. ¶12

Congregational prayer, in the sense of formal obligatory prayer which is to be recited in accordance with a prescribed ritual as, for example, is the custom in Islám where Friday prayer in the mosque is led by an imám, has been annulled in the Bahá’í Dispensation. The Prayer for the Dead (see note 10) is the only congregational prayer prescribed by Bahá’í law. It is to be recited by one of those present while the remainder of the party stands in silence; the reader has no special status. The congregation is not required to face the Qiblih (Q&A 85).

The three daily Obligatory Prayers are to be recited individually, not in congregation.

There is no prescribed way for the recital of the many other Bahá’í prayers, and all are free to use such non-obligatory prayers in gatherings or individually as they please. In this regard, Shoghi Effendi states that

…although the friends are thus left free to follow their own inclination … they should take the utmost care that any manner they practice should not acquire too rigid a character, and thus develop into an institution. This is a point which the friends should always bear in mind, lest they deviate from the clear path indicated by the Teachings.
",N19,kitab-i-aqdas-notes
20,"20.God hath exempted women who are in their courses from obligatory prayer and fasting. ¶13

Exemption from obligatory prayer and fasting is granted to women who are menstruating; they should, instead, perform their ablutions (see note 34) and repeat 95 times a day between one noon and the next, the verse “Glorified be God, the Lord of Splendor and Beauty.” This provision has its antecedent in the Arabic Bayán, where a similar dispensation was granted.

In some earlier religious Dispensations, women in their courses were considered ritually unclean and were forbidden to observe the duties of prayer and fasting. The concept of ritual uncleanness has been abolished by Bahá’u’lláh (see note 106).

The Universal House of Justice has clarified that the provisions in the Kitáb-i-Aqdas granting exemptions from certain duties and responsibilities are, as the word indicates, exemptions and not prohibitions. Any believer is, therefore, free to avail himself or herself of an applicable exemption if he or she so wishes. However, the House of Justice counsels that, in deciding whether to do so or not, the believer should use wisdom and realize that Bahá’u’lláh has granted these exemptions for good reason.

The prescribed exemption from obligatory prayer, originally related to the Obligatory Prayer consisting of nine rak‘ahs, is now applicable to the three Obligatory Prayers which superseded it.
",N20,kitab-i-aqdas-notes
21,"21.When traveling, if ye should stop and rest in some safe spot, perform ye—men and women alike—a single prostration in place of each unsaid Obligatory Prayer ¶14

Exemption from obligatory prayer is granted to those who find themselves in such a condition of insecurity that the saying of the Obligatory Prayers is not possible. The exemption applies whether one is traveling or at home, and it provides a means whereby Obligatory Prayers which have remained unsaid on account of these insecure circumstances may be compensated for.

Bahá’u’lláh has made it clear that obligatory prayer “is not suspended during travel” so long as one can find a “safe spot” in which to perform it (Q&A 58).

Numbers 21, 58, 59, 60, and 61 in Questions and Answers amplify this provision.
",N21,kitab-i-aqdas-notes
22,"22.Upon completing your prostrations, seat yourselves cross-legged ¶14

The Arabic expression “haykalu’t-tawḥíd,” translated here as “cross-legged,” means the “posture of unity.” It has traditionally signified a cross-legged position.
",N22,kitab-i-aqdas-notes
23,"23.Say: God hath made My hidden love the key to the Treasure ¶15

There is a well-known Islamic tradition concerning God and His creation:

I was a Hidden Treasure. I wished to be made known, and thus I called creation into being in order that I might be known.

References and allusions to this tradition are found throughout the Bahá’í Writings. For example, in one of His prayers, Bahá’u’lláh reveals:

Lauded be Thy name, O Lord my God! I testify that Thou wast a hidden Treasure wrapped within Thine immemorial Being and an impenetrable Mystery enshrined in Thine own Essence. Wishing to reveal Thyself, Thou didst call into being the Greater and the Lesser Worlds, and didst choose Man above all Thy creatures, and didst make Him a sign of both of these worlds, O Thou Who art our Lord, the Most Compassionate!

Thou didst raise Him up to occupy Thy throne before all the people of Thy creation. Thou didst enable Him to unravel Thy mysteries, and to shine with the lights of Thine inspiration and Thy Revelation, and to manifest Thy names and Thine attributes. Through Him Thou didst adorn the preamble of the book of Thy creation, O Thou Who art the Ruler of the universe Thou hast fashioned! (Prayers and Meditations by Bahá’u’lláh, XXXVIII)

Likewise, in the Hidden Words, He states:

O Son of Man! I loved thy creation, hence I created thee. Wherefore, do thou love Me, that I may name thy name and fill thy soul with the Spirit of life.

‘Abdu’l‑Bahá, in His commentary on the above-cited tradition, wrote:

O wayfarer in the path of the Beloved! Know thou that the main purpose of this holy tradition is to make mention of the stages of God’s concealment and manifestation within the Embodiments of Truth, They who are the Dawning-places of His All-Glorious Being. For example, before the flame of the undying fire is lit and manifest, it existeth by itself within itself in the hidden identity of the universal Manifestations, and this is the stage of the “Hidden Treasure.” And when the blessed Tree is kindled by itself within itself, and that Divine fire burneth by its essence within its essence, this is the stage of “I wished to be made known.” And when it shineth forth from the Horizon of the universe with infinite Divine Names and Attributes upon the contingent and placeless worlds, this constituteth the emergence of a new and wondrous creation which correspondeth to the stage of “Thus I called creation into being.” And when the sanctified souls rend asunder the veils of all earthly attachments and worldly conditions, and hasten to the stage of gazing on the beauty of the Divine Presence and are honored by recognizing the Manifestation and are able to witness the splendor of God’s Most Great Sign in their hearts, then will the purpose of creation, which is the knowledge of Him Who is the Eternal Truth, become manifest.
",N23,kitab-i-aqdas-notes
24,"24.O Pen of the Most High! ¶16

“Pen of the Most High,” “the Supreme Pen” and “the Most Exalted Pen” are references to Bahá’u’lláh, illustrating His function as Revealer of the Word of God.
",N24,kitab-i-aqdas-notes
