,Sentence,Text,Section,Book
0,From the Letter Bá’ to the Letter Há’,From the Letter Bá’ to the Letter Há’,title,From the Letter Ba to the Letter Ha
1,"In the name of our Lord, the Most Exalted, the Most High!","In the name of our Lord, the Most Exalted, the Most High!",header,From the Letter Ba to the Letter Ha
2,"Iaddressed unto thee aforetime an Epistle in the lucid Arabian tongue, and I now reveal for thee this Tablet in wondrous Persian prose, that thou mayest hear, in the glorious accents of the Nightingale of ‘Iráq, the sweet melodies of the nearness of the heavenly Paradise that had, ere this, been intoned in the language of Ḥijáz","Iaddressed unto thee aforetime an Epistle in the lucid Arabian tongue, and I now reveal for thee this Tablet in wondrous Persian prose, that thou mayest hear, in the glorious accents of the Nightingale of ‘Iráq, the sweet melodies of the nearness of the heavenly Paradise that had, ere this, been intoned in the language of Ḥijáz.77 Perchance thou mayest become pure spirit; attain, without taking a single step, the loftiest stations of mystic ascent; and explore, without leaving thine outward habitation, the furthermost reaches of the worlds of inner significance. Thereupon wouldst thou, with a divine rapture, experience true spiritual attraction, lay down thy life in the path of the Friend, and sacrifice thy soul in the wilderness of His love. This indeed is the meaning of stillness in flight and flight in stillness, of fluidity in solidity and solidity in fluidity.",P1,From the Letter Ba to the Letter Ha
3,"77 Perchance thou mayest become pure spirit; attain, without taking a single step, the loftiest stations of mystic ascent; and explore, without leaving thine outward habitation, the furthermost reaches of the worlds of inner significance","Iaddressed unto thee aforetime an Epistle in the lucid Arabian tongue, and I now reveal for thee this Tablet in wondrous Persian prose, that thou mayest hear, in the glorious accents of the Nightingale of ‘Iráq, the sweet melodies of the nearness of the heavenly Paradise that had, ere this, been intoned in the language of Ḥijáz.77 Perchance thou mayest become pure spirit; attain, without taking a single step, the loftiest stations of mystic ascent; and explore, without leaving thine outward habitation, the furthermost reaches of the worlds of inner significance. Thereupon wouldst thou, with a divine rapture, experience true spiritual attraction, lay down thy life in the path of the Friend, and sacrifice thy soul in the wilderness of His love. This indeed is the meaning of stillness in flight and flight in stillness, of fluidity in solidity and solidity in fluidity.",P1,From the Letter Ba to the Letter Ha
4," Thereupon wouldst thou, with a divine rapture, experience true spiritual attraction, lay down thy life in the path of the Friend, and sacrifice thy soul in the wilderness of His love","Iaddressed unto thee aforetime an Epistle in the lucid Arabian tongue, and I now reveal for thee this Tablet in wondrous Persian prose, that thou mayest hear, in the glorious accents of the Nightingale of ‘Iráq, the sweet melodies of the nearness of the heavenly Paradise that had, ere this, been intoned in the language of Ḥijáz.77 Perchance thou mayest become pure spirit; attain, without taking a single step, the loftiest stations of mystic ascent; and explore, without leaving thine outward habitation, the furthermost reaches of the worlds of inner significance. Thereupon wouldst thou, with a divine rapture, experience true spiritual attraction, lay down thy life in the path of the Friend, and sacrifice thy soul in the wilderness of His love. This indeed is the meaning of stillness in flight and flight in stillness, of fluidity in solidity and solidity in fluidity.",P1,From the Letter Ba to the Letter Ha
5," This indeed is the meaning of stillness in flight and flight in stillness, of fluidity in solidity and solidity in fluidity","Iaddressed unto thee aforetime an Epistle in the lucid Arabian tongue, and I now reveal for thee this Tablet in wondrous Persian prose, that thou mayest hear, in the glorious accents of the Nightingale of ‘Iráq, the sweet melodies of the nearness of the heavenly Paradise that had, ere this, been intoned in the language of Ḥijáz.77 Perchance thou mayest become pure spirit; attain, without taking a single step, the loftiest stations of mystic ascent; and explore, without leaving thine outward habitation, the furthermost reaches of the worlds of inner significance. Thereupon wouldst thou, with a divine rapture, experience true spiritual attraction, lay down thy life in the path of the Friend, and sacrifice thy soul in the wilderness of His love. This indeed is the meaning of stillness in flight and flight in stillness, of fluidity in solidity and solidity in fluidity.",P1,From the Letter Ba to the Letter Ha
6,"To continue: It is clear that the wayfarers in the wilderness of search and longing, of attainment and reunion, have numerous degrees and countless stations","To continue: It is clear that the wayfarers in the wilderness of search and longing, of attainment and reunion, have numerous degrees and countless stations. Some, after spiritual struggle and physical toil, ascend from the lower reaches of “no God is there” to the lofty bowers of “but God”,78 flee from the shadow of negation to abide in the limitless realm of affirmation, and abandon the privation of a transient existence for the bountiful assemblage of reunion. This is the uttermost limit of the realm of effort and striving.",P2,From the Letter Ba to the Letter Ha
7," Some, after spiritual struggle and physical toil, ascend from the lower reaches of “no God is there” to the lofty bowers of “but God”,78 flee from the shadow of negation to abide in the limitless realm of affirmation, and abandon the privation of a transient existence for the bountiful assemblage of reunion","To continue: It is clear that the wayfarers in the wilderness of search and longing, of attainment and reunion, have numerous degrees and countless stations. Some, after spiritual struggle and physical toil, ascend from the lower reaches of “no God is there” to the lofty bowers of “but God”,78 flee from the shadow of negation to abide in the limitless realm of affirmation, and abandon the privation of a transient existence for the bountiful assemblage of reunion. This is the uttermost limit of the realm of effort and striving.",P2,From the Letter Ba to the Letter Ha
8, This is the uttermost limit of the realm of effort and striving,"To continue: It is clear that the wayfarers in the wilderness of search and longing, of attainment and reunion, have numerous degrees and countless stations. Some, after spiritual struggle and physical toil, ascend from the lower reaches of “no God is there” to the lofty bowers of “but God”,78 flee from the shadow of negation to abide in the limitless realm of affirmation, and abandon the privation of a transient existence for the bountiful assemblage of reunion. This is the uttermost limit of the realm of effort and striving.",P2,From the Letter Ba to the Letter Ha
9,"Others, without receiving the least intimation of “no God is there”, pass beyond the highest horizon of “but God”; without even tasting a dewdrop of the degrees of self-surrender ascend unto the kingdom of life everlasting; and without partaking from the wellspring of utter abnegation quaff the wine of the Ancient of Days","Others, without receiving the least intimation of “no God is there”, pass beyond the highest horizon of “but God”; without even tasting a dewdrop of the degrees of self-surrender ascend unto the kingdom of life everlasting; and without partaking from the wellspring of utter abnegation quaff the wine of the Ancient of Days. These souls, as they traverse the stages of wayfaring and ascend unto the stations of reunion, walk a different path and occupy a different rank.",P3,From the Letter Ba to the Letter Ha
