,Sentence,Text,Section,Book
0,Kitab-i-Aqdas-Notes,Kitab-i-Aqdas-Notes,Title,kitab-i-aqdas-notes
1,"the sweet-smelling savor of My garment ¶4

This is an allusion to the story of Joseph in the Qur’án and the Old Testament, in which Joseph’s garment, brought by his brothers to Jacob, their father, enabled Jacob to identify his beloved long-lost son","1.the sweet-smelling savor of My garment ¶4

This is an allusion to the story of Joseph in the Qur’án and the Old Testament, in which Joseph’s garment, brought by his brothers to Jacob, their father, enabled Jacob to identify his beloved long-lost son. The metaphor of the fragrant “garment” is frequently used in the Bahá’í Writings to refer to the recognition of the Manifestation of God and His Revelation.

Bahá’u’lláh, in one of His Tablets, describes Himself as the “Divine Joseph” Who has been “bartered away” by the heedless “for the most paltry of prices.” The Báb, in the Qayyúmu’l-Asmá’, identifies Bahá’u’lláh as the “true Joseph” and forecasts the ordeals that He would endure at the hands of His treacherous brother (see note 190). Likewise, Shoghi Effendi draws a parallel between the intense jealousy which the preeminence of ‘Abdu’l‑Bahá had aroused in His half-brother, Mírzá Muḥammad-‘Alí, and the deadly envy “which the superior excellence of Joseph had kindled in the hearts of his brothers.”
",N1,kitab-i-aqdas-notes
2, The metaphor of the fragrant “garment” is frequently used in the Bahá’í Writings to refer to the recognition of the Manifestation of God and His Revelation,"1.the sweet-smelling savor of My garment ¶4

This is an allusion to the story of Joseph in the Qur’án and the Old Testament, in which Joseph’s garment, brought by his brothers to Jacob, their father, enabled Jacob to identify his beloved long-lost son. The metaphor of the fragrant “garment” is frequently used in the Bahá’í Writings to refer to the recognition of the Manifestation of God and His Revelation.

Bahá’u’lláh, in one of His Tablets, describes Himself as the “Divine Joseph” Who has been “bartered away” by the heedless “for the most paltry of prices.” The Báb, in the Qayyúmu’l-Asmá’, identifies Bahá’u’lláh as the “true Joseph” and forecasts the ordeals that He would endure at the hands of His treacherous brother (see note 190). Likewise, Shoghi Effendi draws a parallel between the intense jealousy which the preeminence of ‘Abdu’l‑Bahá had aroused in His half-brother, Mírzá Muḥammad-‘Alí, and the deadly envy “which the superior excellence of Joseph had kindled in the hearts of his brothers.”
",N1,kitab-i-aqdas-notes
3,"

Bahá’u’lláh, in one of His Tablets, describes Himself as the “Divine Joseph” Who has been “bartered away” by the heedless “for the most paltry of prices","1.the sweet-smelling savor of My garment ¶4

This is an allusion to the story of Joseph in the Qur’án and the Old Testament, in which Joseph’s garment, brought by his brothers to Jacob, their father, enabled Jacob to identify his beloved long-lost son. The metaphor of the fragrant “garment” is frequently used in the Bahá’í Writings to refer to the recognition of the Manifestation of God and His Revelation.

Bahá’u’lláh, in one of His Tablets, describes Himself as the “Divine Joseph” Who has been “bartered away” by the heedless “for the most paltry of prices.” The Báb, in the Qayyúmu’l-Asmá’, identifies Bahá’u’lláh as the “true Joseph” and forecasts the ordeals that He would endure at the hands of His treacherous brother (see note 190). Likewise, Shoghi Effendi draws a parallel between the intense jealousy which the preeminence of ‘Abdu’l‑Bahá had aroused in His half-brother, Mírzá Muḥammad-‘Alí, and the deadly envy “which the superior excellence of Joseph had kindled in the hearts of his brothers.”
",N1,kitab-i-aqdas-notes
4,"” The Báb, in the Qayyúmu’l-Asmá’, identifies Bahá’u’lláh as the “true Joseph” and forecasts the ordeals that He would endure at the hands of His treacherous brother (see note 190)","1.the sweet-smelling savor of My garment ¶4

This is an allusion to the story of Joseph in the Qur’án and the Old Testament, in which Joseph’s garment, brought by his brothers to Jacob, their father, enabled Jacob to identify his beloved long-lost son. The metaphor of the fragrant “garment” is frequently used in the Bahá’í Writings to refer to the recognition of the Manifestation of God and His Revelation.

Bahá’u’lláh, in one of His Tablets, describes Himself as the “Divine Joseph” Who has been “bartered away” by the heedless “for the most paltry of prices.” The Báb, in the Qayyúmu’l-Asmá’, identifies Bahá’u’lláh as the “true Joseph” and forecasts the ordeals that He would endure at the hands of His treacherous brother (see note 190). Likewise, Shoghi Effendi draws a parallel between the intense jealousy which the preeminence of ‘Abdu’l‑Bahá had aroused in His half-brother, Mírzá Muḥammad-‘Alí, and the deadly envy “which the superior excellence of Joseph had kindled in the hearts of his brothers.”
",N1,kitab-i-aqdas-notes
5," Likewise, Shoghi Effendi draws a parallel between the intense jealousy which the preeminence of ‘Abdu’l‑Bahá had aroused in His half-brother, Mírzá Muḥammad-‘Alí, and the deadly envy “which the superior excellence of Joseph had kindled in the hearts of his brothers","1.the sweet-smelling savor of My garment ¶4

This is an allusion to the story of Joseph in the Qur’án and the Old Testament, in which Joseph’s garment, brought by his brothers to Jacob, their father, enabled Jacob to identify his beloved long-lost son. The metaphor of the fragrant “garment” is frequently used in the Bahá’í Writings to refer to the recognition of the Manifestation of God and His Revelation.

Bahá’u’lláh, in one of His Tablets, describes Himself as the “Divine Joseph” Who has been “bartered away” by the heedless “for the most paltry of prices.” The Báb, in the Qayyúmu’l-Asmá’, identifies Bahá’u’lláh as the “true Joseph” and forecasts the ordeals that He would endure at the hands of His treacherous brother (see note 190). Likewise, Shoghi Effendi draws a parallel between the intense jealousy which the preeminence of ‘Abdu’l‑Bahá had aroused in His half-brother, Mírzá Muḥammad-‘Alí, and the deadly envy “which the superior excellence of Joseph had kindled in the hearts of his brothers.”
",N1,kitab-i-aqdas-notes
6,"”
","1.the sweet-smelling savor of My garment ¶4

This is an allusion to the story of Joseph in the Qur’án and the Old Testament, in which Joseph’s garment, brought by his brothers to Jacob, their father, enabled Jacob to identify his beloved long-lost son. The metaphor of the fragrant “garment” is frequently used in the Bahá’í Writings to refer to the recognition of the Manifestation of God and His Revelation.

Bahá’u’lláh, in one of His Tablets, describes Himself as the “Divine Joseph” Who has been “bartered away” by the heedless “for the most paltry of prices.” The Báb, in the Qayyúmu’l-Asmá’, identifies Bahá’u’lláh as the “true Joseph” and forecasts the ordeals that He would endure at the hands of His treacherous brother (see note 190). Likewise, Shoghi Effendi draws a parallel between the intense jealousy which the preeminence of ‘Abdu’l‑Bahá had aroused in His half-brother, Mírzá Muḥammad-‘Alí, and the deadly envy “which the superior excellence of Joseph had kindled in the hearts of his brothers.”
",N1,kitab-i-aqdas-notes
7,We have unsealed the choice Wine with the fingers of might and power,"2.We have unsealed the choice Wine with the fingers of might and power. ¶5

The consumption of wine and other intoxicants is prohibited in the Kitáb-i-Aqdas (see notes 144 and 170).

Reference to the use of “wine” in an allegorical sense—such as being the cause of spiritual ecstasy—is found, not only in the Revelation of Bahá’u’lláh, but in the Bible, in the Qur’án, and in ancient Hindu traditions.

For example, in the Qur’án the righteous are promised that they will be given to drink of the “choice sealed wine.” In His Tablets, Bahá’u’lláh identifies the “choice Wine” with His Revelation whose “musk-laden fragrance” has been wafted “upon all created things.” He states that He has “unsealed” this “Wine,” thereby disclosing spiritual truths that were hitherto unknown, and enabling those who quaff thereof to “discern the splendors of the light of divine unity” and to “grasp the essential purpose underlying the Scriptures of God.”

In one of His meditations, Bahá’u’lláh entreats God to supply the believers with “the choice Wine of Thy mercy, that it may cause them to be forgetful of anyone except Thee, and to arise to serve Thy Cause, and to be steadfast in their love for Thee.”
",N2,kitab-i-aqdas-notes
8," ¶5

The consumption of wine and other intoxicants is prohibited in the Kitáb-i-Aqdas (see notes 144 and 170)","2.We have unsealed the choice Wine with the fingers of might and power. ¶5

The consumption of wine and other intoxicants is prohibited in the Kitáb-i-Aqdas (see notes 144 and 170).

Reference to the use of “wine” in an allegorical sense—such as being the cause of spiritual ecstasy—is found, not only in the Revelation of Bahá’u’lláh, but in the Bible, in the Qur’án, and in ancient Hindu traditions.

For example, in the Qur’án the righteous are promised that they will be given to drink of the “choice sealed wine.” In His Tablets, Bahá’u’lláh identifies the “choice Wine” with His Revelation whose “musk-laden fragrance” has been wafted “upon all created things.” He states that He has “unsealed” this “Wine,” thereby disclosing spiritual truths that were hitherto unknown, and enabling those who quaff thereof to “discern the splendors of the light of divine unity” and to “grasp the essential purpose underlying the Scriptures of God.”

In one of His meditations, Bahá’u’lláh entreats God to supply the believers with “the choice Wine of Thy mercy, that it may cause them to be forgetful of anyone except Thee, and to arise to serve Thy Cause, and to be steadfast in their love for Thee.”
",N2,kitab-i-aqdas-notes
9,"

Reference to the use of “wine” in an allegorical sense—such as being the cause of spiritual ecstasy—is found, not only in the Revelation of Bahá’u’lláh, but in the Bible, in the Qur’án, and in ancient Hindu traditions","2.We have unsealed the choice Wine with the fingers of might and power. ¶5

The consumption of wine and other intoxicants is prohibited in the Kitáb-i-Aqdas (see notes 144 and 170).

Reference to the use of “wine” in an allegorical sense—such as being the cause of spiritual ecstasy—is found, not only in the Revelation of Bahá’u’lláh, but in the Bible, in the Qur’án, and in ancient Hindu traditions.

For example, in the Qur’án the righteous are promised that they will be given to drink of the “choice sealed wine.” In His Tablets, Bahá’u’lláh identifies the “choice Wine” with His Revelation whose “musk-laden fragrance” has been wafted “upon all created things.” He states that He has “unsealed” this “Wine,” thereby disclosing spiritual truths that were hitherto unknown, and enabling those who quaff thereof to “discern the splendors of the light of divine unity” and to “grasp the essential purpose underlying the Scriptures of God.”

In one of His meditations, Bahá’u’lláh entreats God to supply the believers with “the choice Wine of Thy mercy, that it may cause them to be forgetful of anyone except Thee, and to arise to serve Thy Cause, and to be steadfast in their love for Thee.”
",N2,kitab-i-aqdas-notes
