,Sentence,Text,Section,Book
0,Kitab-i-Aqdas Questions and Answers,Kitab-i-Aqdas Questions and Answers,Title,kitab-i-aqdas-q-and-a
1,Question: Concerning the Most Great Festival,"Question: Concerning the Most Great Festival.
Answer: The Most Great Festival commenceth late in the afternoon of the thirteenth day of the second month of the year according to the Bayán. On the first, ninth and twelfth days of this Festival, work is forbidden.",Q1,kitab-i-aqdas-q-and-a
2,"
Answer: The Most Great Festival commenceth late in the afternoon of the thirteenth day of the second month of the year according to the Bayán","Question: Concerning the Most Great Festival.
Answer: The Most Great Festival commenceth late in the afternoon of the thirteenth day of the second month of the year according to the Bayán. On the first, ninth and twelfth days of this Festival, work is forbidden.",Q1,kitab-i-aqdas-q-and-a
3," On the first, ninth and twelfth days of this Festival, work is forbidden","Question: Concerning the Most Great Festival.
Answer: The Most Great Festival commenceth late in the afternoon of the thirteenth day of the second month of the year according to the Bayán. On the first, ninth and twelfth days of this Festival, work is forbidden.",Q1,kitab-i-aqdas-q-and-a
4,Question: Concerning the Festival of the Twin Birthdays,"Question: Concerning the Festival of the Twin Birthdays.
Answer: The Birth of the Abhá Beauty1 was at the hour of dawn on the second day of the month of Muḥarram,2 the first day of which marketh the Birth of His Herald. These two days are accounted as one in the sight of God.",Q2,kitab-i-aqdas-q-and-a
5,"
Answer: The Birth of the Abhá Beauty1 was at the hour of dawn on the second day of the month of Muḥarram,2 the first day of which marketh the Birth of His Herald","Question: Concerning the Festival of the Twin Birthdays.
Answer: The Birth of the Abhá Beauty1 was at the hour of dawn on the second day of the month of Muḥarram,2 the first day of which marketh the Birth of His Herald. These two days are accounted as one in the sight of God.",Q2,kitab-i-aqdas-q-and-a
6, These two days are accounted as one in the sight of God,"Question: Concerning the Festival of the Twin Birthdays.
Answer: The Birth of the Abhá Beauty1 was at the hour of dawn on the second day of the month of Muḥarram,2 the first day of which marketh the Birth of His Herald. These two days are accounted as one in the sight of God.",Q2,kitab-i-aqdas-q-and-a
7,Question: Concerning the Marriage Verses,"Question: Concerning the Marriage Verses.3
Answer: For men: “We will all, verily, abide by the Will of God.” For women: “We will all, verily, abide by the Will of God.”",Q3,kitab-i-aqdas-q-and-a
8,"3
Answer: For men: “We will all, verily, abide by the Will of God","Question: Concerning the Marriage Verses.3
Answer: For men: “We will all, verily, abide by the Will of God.” For women: “We will all, verily, abide by the Will of God.”",Q3,kitab-i-aqdas-q-and-a
9,"” For women: “We will all, verily, abide by the Will of God","Question: Concerning the Marriage Verses.3
Answer: For men: “We will all, verily, abide by the Will of God.” For women: “We will all, verily, abide by the Will of God.”",Q3,kitab-i-aqdas-q-and-a
10,"Question: Should a man go on a journey without specifying a time for his return without indicating, in other words, the expected period of his absence—and should no word be heard of him thereafter, and all trace of him be lost, what course should be followed by his wife?
Answer: Should he have omitted to fix a time for his return despite being aware of the stipulation of the Kitáb-i-Aqdas in this regard, his wife should wait for one full year, after which she shall be free either to adopt the course that is praiseworthy, or to choose for herself another husband","Question: Should a man go on a journey without specifying a time for his return without indicating, in other words, the expected period of his absence—and should no word be heard of him thereafter, and all trace of him be lost, what course should be followed by his wife?
Answer: Should he have omitted to fix a time for his return despite being aware of the stipulation of the Kitáb-i-Aqdas in this regard, his wife should wait for one full year, after which she shall be free either to adopt the course that is praiseworthy, or to choose for herself another husband. If, however, he be unaware of this stipulation, she should abide in patience until such time as God shall please to disclose to her his fate. By the course that is praiseworthy in this connection is meant the exercise of patience.",Q4,kitab-i-aqdas-q-and-a
11," If, however, he be unaware of this stipulation, she should abide in patience until such time as God shall please to disclose to her his fate","Question: Should a man go on a journey without specifying a time for his return without indicating, in other words, the expected period of his absence—and should no word be heard of him thereafter, and all trace of him be lost, what course should be followed by his wife?
Answer: Should he have omitted to fix a time for his return despite being aware of the stipulation of the Kitáb-i-Aqdas in this regard, his wife should wait for one full year, after which she shall be free either to adopt the course that is praiseworthy, or to choose for herself another husband. If, however, he be unaware of this stipulation, she should abide in patience until such time as God shall please to disclose to her his fate. By the course that is praiseworthy in this connection is meant the exercise of patience.",Q4,kitab-i-aqdas-q-and-a
12, By the course that is praiseworthy in this connection is meant the exercise of patience,"Question: Should a man go on a journey without specifying a time for his return without indicating, in other words, the expected period of his absence—and should no word be heard of him thereafter, and all trace of him be lost, what course should be followed by his wife?
Answer: Should he have omitted to fix a time for his return despite being aware of the stipulation of the Kitáb-i-Aqdas in this regard, his wife should wait for one full year, after which she shall be free either to adopt the course that is praiseworthy, or to choose for herself another husband. If, however, he be unaware of this stipulation, she should abide in patience until such time as God shall please to disclose to her his fate. By the course that is praiseworthy in this connection is meant the exercise of patience.",Q4,kitab-i-aqdas-q-and-a
13,"Question: Concerning the holy verse: “When We heard the clamor of the children as yet unborn, We doubled their share and decreased those of the rest","Question: Concerning the holy verse: “When We heard the clamor of the children as yet unborn, We doubled their share and decreased those of the rest.”
Answer: According to the Book of God, the estate of the deceased is divided into 2,520 shares, which number is the lowest common multiple of all integers up to nine, and these shares are then distributed into seven portions, each of which is allocated, as mentioned in the Book, to a particular category of heirs. The children, for example, are allotted nine blocks of 60 shares, comprising 540 shares in all. The meaning of the statement “We doubled their share” is thus that the children receive a further nine blocks of 60 shares, entitling them to a total of 18 blocks all told. The extra shares that they receive are deducted from the portions of the other categories of heirs, so that, although it is revealed, for instance, that the spouse is entitled to “eight parts comprising four hundred and eighty shares,” which is the equivalent of eight blocks of 60 shares, now, by virtue of this rearrangement, one and a half blocks of shares, comprising 90 shares in all, have been subtracted from the spouse’s portion and reallocated to the children, and similarly in the case of the others. The result is that the total amount subtracted is equivalent to the nine extra blocks of shares allotted to the children.",Q5,kitab-i-aqdas-q-and-a
