,Sentence,Text,Section,Book
0,Light of the World (Selected Tablets of Abdul-baha),Light of the World (Selected Tablets of Abdul-baha),title,Light of the World - Selected Tablets of Abdul-baha
1,"On 29 May 1892, after four decades of bountiful radiance, from the first intimation of its rising glory in the Síyáh-Chál and Baghdad to its midday splendour in Adrianople and ‘Akká, the Sun of Bahá—as ‘Abdu’l-Bahá memorably relayed in His telegram informing Sulṭán ‘Abdu’l-Ḥamíd of the ascension of Bahá’u’lláh—had set","On 29 May 1892, after four decades of bountiful radiance, from the first intimation of its rising glory in the Síyáh-Chál and Baghdad to its midday splendour in Adrianople and ‘Akká, the Sun of Bahá—as ‘Abdu’l-Bahá memorably relayed in His telegram informing Sulṭán ‘Abdu’l-Ḥamíd of the ascension of Bahá’u’lláh—had set. Yet the setting of that Sun was not followed by the dark of night but by the reflection of its glory in the Moon of the Covenant, lighting the path ahead, towards the attainment of Bahá’u’lláh’s ultimate purpose: the unification of humanity.",T0P1,Light of the World - Selected Tablets of Abdul-baha
2," Yet the setting of that Sun was not followed by the dark of night but by the reflection of its glory in the Moon of the Covenant, lighting the path ahead, towards the attainment of Bahá’u’lláh’s ultimate purpose: the unification of humanity","On 29 May 1892, after four decades of bountiful radiance, from the first intimation of its rising glory in the Síyáh-Chál and Baghdad to its midday splendour in Adrianople and ‘Akká, the Sun of Bahá—as ‘Abdu’l-Bahá memorably relayed in His telegram informing Sulṭán ‘Abdu’l-Ḥamíd of the ascension of Bahá’u’lláh—had set. Yet the setting of that Sun was not followed by the dark of night but by the reflection of its glory in the Moon of the Covenant, lighting the path ahead, towards the attainment of Bahá’u’lláh’s ultimate purpose: the unification of humanity.",T0P1,Light of the World - Selected Tablets of Abdul-baha
3,"As the radiant Centre of that Covenant, ‘Abdu’l-Bahá, Bahá’u’lláh’s eldest son and appointed Successor, would, for the next three decades, lead the Cause and be “the steward of its glory and the diffuser of its light”","As the radiant Centre of that Covenant, ‘Abdu’l-Bahá, Bahá’u’lláh’s eldest son and appointed Successor, would, for the next three decades, lead the Cause and be “the steward of its glory and the diffuser of its light”. His mission would be “to enrich and extend the bounds of the incorruptible patrimony entrusted to His hands by shedding the illumination of His Father’s Faith upon the West, by expounding the fundamental precepts of that Faith and its cardinal principles, by consolidating the activities which had already been initiated for the promotion of its interests, and, finally, by ushering in, through the provisions of His own Will, the Formative Age in its evolution”.1",T0P2,Light of the World - Selected Tablets of Abdul-baha
4," His mission would be “to enrich and extend the bounds of the incorruptible patrimony entrusted to His hands by shedding the illumination of His Father’s Faith upon the West, by expounding the fundamental precepts of that Faith and its cardinal principles, by consolidating the activities which had already been initiated for the promotion of its interests, and, finally, by ushering in, through the provisions of His own Will, the Formative Age in its evolution”","As the radiant Centre of that Covenant, ‘Abdu’l-Bahá, Bahá’u’lláh’s eldest son and appointed Successor, would, for the next three decades, lead the Cause and be “the steward of its glory and the diffuser of its light”. His mission would be “to enrich and extend the bounds of the incorruptible patrimony entrusted to His hands by shedding the illumination of His Father’s Faith upon the West, by expounding the fundamental precepts of that Faith and its cardinal principles, by consolidating the activities which had already been initiated for the promotion of its interests, and, finally, by ushering in, through the provisions of His own Will, the Formative Age in its evolution”.1",T0P2,Light of the World - Selected Tablets of Abdul-baha
5,"Over the course of that unique stewardship, ‘Abdu’l-Bahá wrote thousands of Tablets to individuals and communities in the East and the West, comprising an unceasing outpouring of guidance, encouragement, sustenance, edification, and boundless love","Over the course of that unique stewardship, ‘Abdu’l-Bahá wrote thousands of Tablets to individuals and communities in the East and the West, comprising an unceasing outpouring of guidance, encouragement, sustenance, edification, and boundless love. The present volume consists of seventy-six newly translated selections chosen from Tablets originally published in Persian in volumes 3 and 4 of Muntakhabátí az Makátíb-i-Ḥaḍrat-i-‘Abdu’l-Bahá. Though the Tablets presented here cover the entire period of ‘Abdu’l-Bahá’s ministry, many were written soon after the “Supreme Affliction” of the passing of Bahá’u’lláh. At that moment, the orphaned community of the Greatest Name, grief-stricken and despondent, turned to ‘Abdu’l-Bahá, recognizing Him to be, “in its hour of desperate need, its Solace, its Guide, its Mainstay and Champion”.2",T0P3,Light of the World - Selected Tablets of Abdul-baha
6, The present volume consists of seventy-six newly translated selections chosen from Tablets originally published in Persian in volumes 3 and 4 of Muntakhabátí az Makátíb-i-Ḥaḍrat-i-‘Abdu’l-Bahá,"Over the course of that unique stewardship, ‘Abdu’l-Bahá wrote thousands of Tablets to individuals and communities in the East and the West, comprising an unceasing outpouring of guidance, encouragement, sustenance, edification, and boundless love. The present volume consists of seventy-six newly translated selections chosen from Tablets originally published in Persian in volumes 3 and 4 of Muntakhabátí az Makátíb-i-Ḥaḍrat-i-‘Abdu’l-Bahá. Though the Tablets presented here cover the entire period of ‘Abdu’l-Bahá’s ministry, many were written soon after the “Supreme Affliction” of the passing of Bahá’u’lláh. At that moment, the orphaned community of the Greatest Name, grief-stricken and despondent, turned to ‘Abdu’l-Bahá, recognizing Him to be, “in its hour of desperate need, its Solace, its Guide, its Mainstay and Champion”.2",T0P3,Light of the World - Selected Tablets of Abdul-baha
7," Though the Tablets presented here cover the entire period of ‘Abdu’l-Bahá’s ministry, many were written soon after the “Supreme Affliction” of the passing of Bahá’u’lláh","Over the course of that unique stewardship, ‘Abdu’l-Bahá wrote thousands of Tablets to individuals and communities in the East and the West, comprising an unceasing outpouring of guidance, encouragement, sustenance, edification, and boundless love. The present volume consists of seventy-six newly translated selections chosen from Tablets originally published in Persian in volumes 3 and 4 of Muntakhabátí az Makátíb-i-Ḥaḍrat-i-‘Abdu’l-Bahá. Though the Tablets presented here cover the entire period of ‘Abdu’l-Bahá’s ministry, many were written soon after the “Supreme Affliction” of the passing of Bahá’u’lláh. At that moment, the orphaned community of the Greatest Name, grief-stricken and despondent, turned to ‘Abdu’l-Bahá, recognizing Him to be, “in its hour of desperate need, its Solace, its Guide, its Mainstay and Champion”.2",T0P3,Light of the World - Selected Tablets of Abdul-baha
8," At that moment, the orphaned community of the Greatest Name, grief-stricken and despondent, turned to ‘Abdu’l-Bahá, recognizing Him to be, “in its hour of desperate need, its Solace, its Guide, its Mainstay and Champion”","Over the course of that unique stewardship, ‘Abdu’l-Bahá wrote thousands of Tablets to individuals and communities in the East and the West, comprising an unceasing outpouring of guidance, encouragement, sustenance, edification, and boundless love. The present volume consists of seventy-six newly translated selections chosen from Tablets originally published in Persian in volumes 3 and 4 of Muntakhabátí az Makátíb-i-Ḥaḍrat-i-‘Abdu’l-Bahá. Though the Tablets presented here cover the entire period of ‘Abdu’l-Bahá’s ministry, many were written soon after the “Supreme Affliction” of the passing of Bahá’u’lláh. At that moment, the orphaned community of the Greatest Name, grief-stricken and despondent, turned to ‘Abdu’l-Bahá, recognizing Him to be, “in its hour of desperate need, its Solace, its Guide, its Mainstay and Champion”.2",T0P3,Light of the World - Selected Tablets of Abdul-baha
9,"Whether writing to the friends at that time of bereavement, or in later years when they found themselves suffering persecution and hardship, ‘Abdu’l-Bahá called them to reflect on the life of the Blessed Beauty, Whose “one and only purpose in accepting such trials and tribulations for His blessed Self was to instruct the lovers in the ways of love and to teach the longing souls the art of servitude”","Whether writing to the friends at that time of bereavement, or in later years when they found themselves suffering persecution and hardship, ‘Abdu’l-Bahá called them to reflect on the life of the Blessed Beauty, Whose “one and only purpose in accepting such trials and tribulations for His blessed Self was to instruct the lovers in the ways of love and to teach the longing souls the art of servitude”. The loved ones of God, ‘Abdu’l-Bahá wrote, must “not be grieved or distressed at these countless afflictions, for in bearing such trials, they share in the sufferings of the Abhá Beauty”.",T0P4,Light of the World - Selected Tablets of Abdul-baha
