,Sentence,Text,Section,Book
0,Selections from the Writings of ‘Abdu’l‑Bahá,Selections from the Writings of ‘Abdu’l‑Bahá,title,Selections from the Writings of ‘Abdu’l‑Bahá
1,"O peoples of the world! The Sun of Truth hath risen to illumine the whole earth, and to spiritualize the community of man","O peoples of the world! The Sun of Truth hath risen to illumine the whole earth, and to spiritualize the community of man. Laudable are the results and the fruits thereof, abundant the holy evidences deriving from this grace. This is mercy unalloyed and purest bounty; it is light for the world and all its peoples; it is harmony and fellowship, and love and solidarity; indeed it is compassion and unity, and the end of foreignness; it is the being at one, in complete dignity and freedom, with all on earth.",T1P1,Selections from the Writings of ‘Abdu’l‑Bahá
2," Laudable are the results and the fruits thereof, abundant the holy evidences deriving from this grace","O peoples of the world! The Sun of Truth hath risen to illumine the whole earth, and to spiritualize the community of man. Laudable are the results and the fruits thereof, abundant the holy evidences deriving from this grace. This is mercy unalloyed and purest bounty; it is light for the world and all its peoples; it is harmony and fellowship, and love and solidarity; indeed it is compassion and unity, and the end of foreignness; it is the being at one, in complete dignity and freedom, with all on earth.",T1P1,Selections from the Writings of ‘Abdu’l‑Bahá
3," This is mercy unalloyed and purest bounty; it is light for the world and all its peoples; it is harmony and fellowship, and love and solidarity; indeed it is compassion and unity, and the end of foreignness; it is the being at one, in complete dignity and freedom, with all on earth","O peoples of the world! The Sun of Truth hath risen to illumine the whole earth, and to spiritualize the community of man. Laudable are the results and the fruits thereof, abundant the holy evidences deriving from this grace. This is mercy unalloyed and purest bounty; it is light for the world and all its peoples; it is harmony and fellowship, and love and solidarity; indeed it is compassion and unity, and the end of foreignness; it is the being at one, in complete dignity and freedom, with all on earth.",T1P1,Selections from the Writings of ‘Abdu’l‑Bahá
4,"The Blessed Beauty saith: “Ye are all the fruits of one tree, the leaves of one branch","The Blessed Beauty saith: “Ye are all the fruits of one tree, the leaves of one branch.” Thus hath He likened this world of being to a single tree, and all its peoples to the leaves thereof, and the blossoms and fruits. It is needful for the bough to blossom, and leaf and fruit to flourish, and upon the interconnection of all parts of the world-tree, dependeth the flourishing of leaf and blossom, and the sweetness of the fruit.",T1P2,Selections from the Writings of ‘Abdu’l‑Bahá
5,"” Thus hath He likened this world of being to a single tree, and all its peoples to the leaves thereof, and the blossoms and fruits","The Blessed Beauty saith: “Ye are all the fruits of one tree, the leaves of one branch.” Thus hath He likened this world of being to a single tree, and all its peoples to the leaves thereof, and the blossoms and fruits. It is needful for the bough to blossom, and leaf and fruit to flourish, and upon the interconnection of all parts of the world-tree, dependeth the flourishing of leaf and blossom, and the sweetness of the fruit.",T1P2,Selections from the Writings of ‘Abdu’l‑Bahá
6," It is needful for the bough to blossom, and leaf and fruit to flourish, and upon the interconnection of all parts of the world-tree, dependeth the flourishing of leaf and blossom, and the sweetness of the fruit","The Blessed Beauty saith: “Ye are all the fruits of one tree, the leaves of one branch.” Thus hath He likened this world of being to a single tree, and all its peoples to the leaves thereof, and the blossoms and fruits. It is needful for the bough to blossom, and leaf and fruit to flourish, and upon the interconnection of all parts of the world-tree, dependeth the flourishing of leaf and blossom, and the sweetness of the fruit.",T1P2,Selections from the Writings of ‘Abdu’l‑Bahá
7,For this reason must all human beings powerfully sustain one another and seek for everlasting life; and for this reason must the lovers of God in this contingent world become the mercies and the blessings sent forth by that clement King of the seen and unseen realms,"For this reason must all human beings powerfully sustain one another and seek for everlasting life; and for this reason must the lovers of God in this contingent world become the mercies and the blessings sent forth by that clement King of the seen and unseen realms. Let them purify their sight and behold all humankind as leaves and blossoms and fruits of the tree of being. Let them at all times concern themselves with doing a kindly thing for one of their fellows, offering to someone love, consideration, thoughtful help. Let them see no one as their enemy, or as wishing them ill, but think of all humankind as their friends; regarding the alien as an intimate, the stranger as a companion, staying free of prejudice, drawing no lines.",T1P3,Selections from the Writings of ‘Abdu’l‑Bahá
8, Let them purify their sight and behold all humankind as leaves and blossoms and fruits of the tree of being,"For this reason must all human beings powerfully sustain one another and seek for everlasting life; and for this reason must the lovers of God in this contingent world become the mercies and the blessings sent forth by that clement King of the seen and unseen realms. Let them purify their sight and behold all humankind as leaves and blossoms and fruits of the tree of being. Let them at all times concern themselves with doing a kindly thing for one of their fellows, offering to someone love, consideration, thoughtful help. Let them see no one as their enemy, or as wishing them ill, but think of all humankind as their friends; regarding the alien as an intimate, the stranger as a companion, staying free of prejudice, drawing no lines.",T1P3,Selections from the Writings of ‘Abdu’l‑Bahá
9," Let them at all times concern themselves with doing a kindly thing for one of their fellows, offering to someone love, consideration, thoughtful help","For this reason must all human beings powerfully sustain one another and seek for everlasting life; and for this reason must the lovers of God in this contingent world become the mercies and the blessings sent forth by that clement King of the seen and unseen realms. Let them purify their sight and behold all humankind as leaves and blossoms and fruits of the tree of being. Let them at all times concern themselves with doing a kindly thing for one of their fellows, offering to someone love, consideration, thoughtful help. Let them see no one as their enemy, or as wishing them ill, but think of all humankind as their friends; regarding the alien as an intimate, the stranger as a companion, staying free of prejudice, drawing no lines.",T1P3,Selections from the Writings of ‘Abdu’l‑Bahá
