,Sentence,Text,Section,Book
0,Selections from the Writings of the Báb,Selections from the Writings of the Báb,title,Selections from the Writings of the Báb
1, 1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” , 1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” ,header,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
2,This is an epistle from this lowly servant to the All-Glorious Lord—He Who hath been aforetime and will be hereafter made manifest,"This is an epistle from this lowly servant to the All-Glorious Lord—He Who hath been aforetime and will be hereafter made manifest. Verily He is the Most Manifest, the Almighty.",P1,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
3," Verily He is the Most Manifest, the Almighty","This is an epistle from this lowly servant to the All-Glorious Lord—He Who hath been aforetime and will be hereafter made manifest. Verily He is the Most Manifest, the Almighty.",P1,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
4,"In the name of the Sovereign Lord, the Lord of Power","In the name of the Sovereign Lord, the Lord of Power.",P2,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
5,Glorified is He before Whom all the dwellers of earth and heaven bow down in adoration and unto Whom all men turn in supplication,Glorified is He before Whom all the dwellers of earth and heaven bow down in adoration and unto Whom all men turn in supplication. He is the One Who holdeth in His grasp the mighty kingdom of all created things and unto Him shall all return. He is the One Who revealeth whatsoever He willeth and by His injunction “Be Thou” all things have come into being.,P3,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
6, He is the One Who holdeth in His grasp the mighty kingdom of all created things and unto Him shall all return,Glorified is He before Whom all the dwellers of earth and heaven bow down in adoration and unto Whom all men turn in supplication. He is the One Who holdeth in His grasp the mighty kingdom of all created things and unto Him shall all return. He is the One Who revealeth whatsoever He willeth and by His injunction “Be Thou” all things have come into being.,P3,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
7, He is the One Who revealeth whatsoever He willeth and by His injunction “Be Thou” all things have come into being,Glorified is He before Whom all the dwellers of earth and heaven bow down in adoration and unto Whom all men turn in supplication. He is the One Who holdeth in His grasp the mighty kingdom of all created things and unto Him shall all return. He is the One Who revealeth whatsoever He willeth and by His injunction “Be Thou” all things have come into being.,P3,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
8,"This is an epistle from the letter Thá1 unto Him Who will be made manifest through the power of Truth—He Who is the All-Glorious, the Best-Beloved—to affirm that all created things as well as myself bear witness for all time that there is none other God but Thee, the Omnipotent, the Self-Subsisting; that Thou art God, there is no God besides Thee and that all men shall be raised up to life through Thee","This is an epistle from the letter Thá1 unto Him Who will be made manifest through the power of Truth—He Who is the All-Glorious, the Best-Beloved—to affirm that all created things as well as myself bear witness for all time that there is none other God but Thee, the Omnipotent, the Self-Subsisting; that Thou art God, there is no God besides Thee and that all men shall be raised up to life through Thee.",P4,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
9,"Lauded and glorified be Thy name, O Lord, my God!","Lauded and glorified be Thy name, O Lord, my God!",P5,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
10,From all eternity I have indeed recognized Thee and unto all eternity will ever do so through Thine Own Self and not through anyone else besides Thee,"From all eternity I have indeed recognized Thee and unto all eternity will ever do so through Thine Own Self and not through anyone else besides Thee. Verily Thou art the Source of all knowledge, the Omniscient. From everlasting I have besought and unto everlasting will beseech forgiveness for my limited understanding of Thee, aware as I am that there is no God but Thee, the All-Glorious, the Almighty.",P6,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
11," Verily Thou art the Source of all knowledge, the Omniscient","From all eternity I have indeed recognized Thee and unto all eternity will ever do so through Thine Own Self and not through anyone else besides Thee. Verily Thou art the Source of all knowledge, the Omniscient. From everlasting I have besought and unto everlasting will beseech forgiveness for my limited understanding of Thee, aware as I am that there is no God but Thee, the All-Glorious, the Almighty.",P6,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
12," From everlasting I have besought and unto everlasting will beseech forgiveness for my limited understanding of Thee, aware as I am that there is no God but Thee, the All-Glorious, the Almighty","From all eternity I have indeed recognized Thee and unto all eternity will ever do so through Thine Own Self and not through anyone else besides Thee. Verily Thou art the Source of all knowledge, the Omniscient. From everlasting I have besought and unto everlasting will beseech forgiveness for my limited understanding of Thee, aware as I am that there is no God but Thee, the All-Glorious, the Almighty.",P6,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
13,"I beg of Thee, O my Best-Beloved, to pardon me and those who earnestly seek to promote Thy Cause; Thou art indeed the One Who forgiveth the sins of all mankind","I beg of Thee, O my Best-Beloved, to pardon me and those who earnestly seek to promote Thy Cause; Thou art indeed the One Who forgiveth the sins of all mankind. And in this second year of my Revelation—a Revelation which took place at Thy behest—I bear witness that Thou art the Most Manifest, the Omnipotent, the Ever-Abiding; that of all things that exist on earth and in the heavens nothing whatsoever can frustrate Thy purpose and that Thou art the Knower of all things and the Lord of might and majesty.",P7,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
14," And in this second year of my Revelation—a Revelation which took place at Thy behest—I bear witness that Thou art the Most Manifest, the Omnipotent, the Ever-Abiding; that of all things that exist on earth and in the heavens nothing whatsoever can frustrate Thy purpose and that Thou art the Knower of all things and the Lord of might and majesty","I beg of Thee, O my Best-Beloved, to pardon me and those who earnestly seek to promote Thy Cause; Thou art indeed the One Who forgiveth the sins of all mankind. And in this second year of my Revelation—a Revelation which took place at Thy behest—I bear witness that Thou art the Most Manifest, the Omnipotent, the Ever-Abiding; that of all things that exist on earth and in the heavens nothing whatsoever can frustrate Thy purpose and that Thou art the Knower of all things and the Lord of might and majesty.",P7,Selections from the Writings of the Báb -  1 Tablets and Addresses A Tablet Addressed to “Him Who Will Be Made Manifest” 
