Sentence,Text,Section,Book,Cluster
"O army of God! The time hath come for the effects and perfections of the Most Great Name to be made manifest in this excellent age, so as to establish, beyond any doubt, that this era is the era of Bahá’u’lláh, and this age is distinguished above all other ages","O army of God! The time hath come for the effects and perfections of the Most Great Name to be made manifest in this excellent age, so as to establish, beyond any doubt, that this era is the era of Bahá’u’lláh, and this age is distinguished above all other ages.",T35P6,Selections from the Writings of ‘Abdu’l‑Bahá,42
" The signature of the contract, by your elected national representatives, signalizing the opening of the final phase of the greatest enterprise ever launched by the followers of the Faith of Bahá’u’lláh in the West, no less than the extremely heartening progress recorded in the successive reports of their National Teaching Committee, attest, beyond the shadow of a doubt, the fidelity, the vigor, and the thoroughness with which you are conducting the manifold operations which the evolution of the Seven Year Plan must necessarily involve","It would be difficult indeed to adequately express the feelings of irrepressible joy and exultation that flood my heart every time I pause to contemplate the ceaseless evidences of the dynamic energy which animates the stalwart pioneers of the World Order of Bahá’u’lláh in the execution of the Plan committed to their charge. The signature of the contract, by your elected national representatives, signalizing the opening of the final phase of the greatest enterprise ever launched by the followers of the Faith of Bahá’u’lláh in the West, no less than the extremely heartening progress recorded in the successive reports of their National Teaching Committee, attest, beyond the shadow of a doubt, the fidelity, the vigor, and the thoroughness with which you are conducting the manifold operations which the evolution of the Seven Year Plan must necessarily involve. In both of its aspects, and in all its details, it is being prosecuted with exemplary regularity and precision, with undiminished efficiency, and commendable dispatch.",P2,The Advent of Divine Justice,42
" Such close interaction, such complete cohesion, such continual harmony and fellowship between the various agencies that contribute to the organic life, and constitute the basic framework, of every properly functioning Bahá’í community, is a phenomenon which offers a striking contrast to the disruptive tendencies which the discordant elements of present-day society so tragically manifest","The resourcefulness which the national representatives of the American believers have, in recent months, so strikingly demonstrated, as evidenced by the successive measures they have adopted, has been matched by the loyal, the unquestioning and generous support accorded them by all those whom they represent, at every critical stage, and with every fresh advance, in the discharge of their sacred duties. Such close interaction, such complete cohesion, such continual harmony and fellowship between the various agencies that contribute to the organic life, and constitute the basic framework, of every properly functioning Bahá’í community, is a phenomenon which offers a striking contrast to the disruptive tendencies which the discordant elements of present-day society so tragically manifest. Whereas every apparent trial with which the unfathomable wisdom of the Almighty deems it necessary to afflict His chosen community serves only to demonstrate afresh its essential solidarity and to consolidate its inward strength, each of the successive crises in the fortunes of a decadent age exposes more convincingly than the one preceding it the corrosive influences that are fast sapping the vitality and undermining the basis of its declining institutions.",P3,The Advent of Divine Justice,42
"In the heart of the European continent a community which, as predicted by ‘Abdu’l‑Bahá, is destined, by virtue of its spiritual potentialities and geographical situation, to radiate the splendor of the light of the Faith on the countries that surround it, has been momentarily eclipsed through the restrictions which a regime that has sorely misapprehended its purpose and function has chosen to impose upon it","In the heart of the European continent a community which, as predicted by ‘Abdu’l‑Bahá, is destined, by virtue of its spiritual potentialities and geographical situation, to radiate the splendor of the light of the Faith on the countries that surround it, has been momentarily eclipsed through the restrictions which a regime that has sorely misapprehended its purpose and function has chosen to impose upon it. Its voice, alas, is now silenced, its institutions dissolved, its literature banned, its archives confiscated, and its meetings suspended.",P7,The Advent of Divine Justice,42
"In the land of its birth, wherein reside the immense majority of its followers—a country whose capital has been hailed by Bahá’u’lláh as the “mother of the world” and the “dayspring of the joy of mankind”—a civil authority, as yet undivorced officially from the paralyzing influences of an antiquated, a fanatical, and outrageously corrupt clergy, pursues relentlessly its campaign of repression against the adherents of a Faith which it has for well-nigh a century striven unsuccessfully to suppress","In the land of its birth, wherein reside the immense majority of its followers—a country whose capital has been hailed by Bahá’u’lláh as the “mother of the world” and the “dayspring of the joy of mankind”—a civil authority, as yet undivorced officially from the paralyzing influences of an antiquated, a fanatical, and outrageously corrupt clergy, pursues relentlessly its campaign of repression against the adherents of a Faith which it has for well-nigh a century striven unsuccessfully to suppress. Indifferent to the truth that the members of this innocent and proscribed community can justly claim to rank as among the most disinterested, the most competent, and the most ardent lovers of their native land, contemptuous of their high sense of world citizenship which the advocates of an excessive and narrow nationalism can never hope to appreciate, such an authority refuses to grant to a Faith which extends its spiritual jurisdiction over well-nigh six hundred local communities, and which numerically outnumbers the adherents of either the Christian, the Jewish, or the Zoroastrian Faiths in that land, the necessary legal right to enforce its laws, to administer its affairs, to conduct its schools, to celebrate its festivals, to circulate its literature, to solemnize its rites, to erect its edifices, and to safeguard its endowments.",P9,The Advent of Divine Justice,42
" By its works, and through the unfailing protection vouchsafed to it by an almighty Providence, this distinguished member of the body of the constantly interacting Bahá’í communities of East and West, bids fair to be universally regarded as the cradle, as well as the stronghold, of that future New World Order, which is at once the promise and the glory of the Dispensation associated with the name of Bahá’u’lláh","The one chief remaining citadel, the mighty arm which still raises aloft the standard of an unconquerable Faith, is none other than the blessed community of the followers of the Most Great Name in the North American continent. By its works, and through the unfailing protection vouchsafed to it by an almighty Providence, this distinguished member of the body of the constantly interacting Bahá’í communities of East and West, bids fair to be universally regarded as the cradle, as well as the stronghold, of that future New World Order, which is at once the promise and the glory of the Dispensation associated with the name of Bahá’u’lláh.",P13,The Advent of Divine Justice,42
"Already, the community of the believers of the North American continent—at once the prime mover and pattern of the future communities which the Faith of Bahá’u’lláh is destined to raise up throughout the length and breadth of the Western Hemisphere—has, despite the prevailing gloom, shown its capacity to be recognized as the torchbearer of that light, the repository of those mysteries, the exponent of that righteousness and the sanctuary of that freedom","Already, the community of the believers of the North American continent—at once the prime mover and pattern of the future communities which the Faith of Bahá’u’lláh is destined to raise up throughout the length and breadth of the Western Hemisphere—has, despite the prevailing gloom, shown its capacity to be recognized as the torchbearer of that light, the repository of those mysteries, the exponent of that righteousness and the sanctuary of that freedom. To what other light can these above-quoted words possibly allude, if not to the light of the glory of the Golden Age of the Faith of Bahá’u’lláh? What mysteries could ‘Abdu’l‑Bahá have contemplated except the mysteries of that embryonic World Order now evolving within the matrix of His Administration? What righteousness if not the righteousness whose reign that Age and that Order can alone establish? What freedom but the freedom which the proclamation of His sovereignty in the fullness of time must bestow?",P15,The Advent of Divine Justice,42
"The community of the organized promoters of the Faith of Bahá’u’lláh in the American continent—the spiritual descendants of the dawn-breakers of an heroic Age, who by their death proclaimed the birth of that Faith—must, in turn, usher in, not by their death but through living sacrifice, that promised World Order, the shell ordained to enshrine that priceless jewel, the world civilization, of which the Faith itself is the sole begetter","The community of the organized promoters of the Faith of Bahá’u’lláh in the American continent—the spiritual descendants of the dawn-breakers of an heroic Age, who by their death proclaimed the birth of that Faith—must, in turn, usher in, not by their death but through living sacrifice, that promised World Order, the shell ordained to enshrine that priceless jewel, the world civilization, of which the Faith itself is the sole begetter. While its sister communities are bending beneath the tempestuous winds that beat upon them from every side, this community, preserved by the immutable decrees of the omnipotent Ordainer and deriving continual sustenance from the mandate with which the Tablets of the Divine Plan have invested it, is now busily engaged in laying the foundations and in fostering the growth of those institutions which are to herald the approach of the Age destined to witness the birth and rise of the World Order of Bahá’u’lláh.",P16,The Advent of Divine Justice,42
" While its sister communities are bending beneath the tempestuous winds that beat upon them from every side, this community, preserved by the immutable decrees of the omnipotent Ordainer and deriving continual sustenance from the mandate with which the Tablets of the Divine Plan have invested it, is now busily engaged in laying the foundations and in fostering the growth of those institutions which are to herald the approach of the Age destined to witness the birth and rise of the World Order of Bahá’u’lláh","The community of the organized promoters of the Faith of Bahá’u’lláh in the American continent—the spiritual descendants of the dawn-breakers of an heroic Age, who by their death proclaimed the birth of that Faith—must, in turn, usher in, not by their death but through living sacrifice, that promised World Order, the shell ordained to enshrine that priceless jewel, the world civilization, of which the Faith itself is the sole begetter. While its sister communities are bending beneath the tempestuous winds that beat upon them from every side, this community, preserved by the immutable decrees of the omnipotent Ordainer and deriving continual sustenance from the mandate with which the Tablets of the Divine Plan have invested it, is now busily engaged in laying the foundations and in fostering the growth of those institutions which are to herald the approach of the Age destined to witness the birth and rise of the World Order of Bahá’u’lláh.",P16,The Advent of Divine Justice,42
"What other community, it can confidently be asked, has been instrumental in fixing the pattern, and in imparting the original impulse, to those administrative institutions that constitute the vanguard of the World Order of Bahá’u’lláh? What other community has been capable of demonstrating, with such consistency, the resourcefulness, the discipline, the iron determination, the zeal and perseverance, the devotion and fidelity, so indispensable to the erection and the continued extension of the framework within which those nascent institutions can alone multiply and mature? What other community has proved itself to be fired by so noble a vision, or willing to rise to such heights of self-sacrifice, or ready to achieve so great a measure of solidarity, as to be able to raise, in so short a time and in the course of such crucial years, an edifice that can well deserve to be regarded as the greatest contribution ever made by the West to the Cause of Bahá’u’lláh? What other community can justifiably lay claim to have succeeded, through the unsupported efforts of one of its humble members, in securing the spontaneous allegiance of Royalty to its Cause, and in winning such marvelous and written testimonies to its truth? What other community has shown the foresight, the organizing ability, the enthusiastic eagerness, that have been responsible for the establishment and multiplication, throughout its territory, of those initial schools which, as time goes by, will, on the one hand, evolve into powerful centers of Bahá’í learning, and, on the other, provide a fertile recruiting ground for the enrichment and consolidation of its teaching force? What other community has produced pioneers combining to such a degree the essential qualities of audacity, of consecration, of tenacity, of self-renunciation, and unstinted devotion, that have prompted them to abandon their homes, and forsake their all, and scatter over the surface of the globe, and hoist in its uttermost corners the triumphant banner of Bahá’u’lláh? Who else but the members of this community have won the eternal distinction of being the first to raise the call of Yá Bahá’u’l-Abhá in such highly important and widely scattered centers and territories as the hearts of both the British and French empires, Germany, the Far East, the Balkan States, the Scandinavian countries, Latin America, the Islands of the Pacific, South Africa, Australia and New Zealand, and now more recently the Baltic States? Who else but those same pioneers have shown themselves ready to undertake the labor, to exercise the patience, and to provide the funds, required for the translation and publication, in no less than forty languages, of their sacred literature, the dissemination of which is an essential prerequisite to any effectively organized campaign of teaching? What other community can lay claim to have had a decisive share in the worldwide efforts that have been exerted for the safeguarding and the extension of the immediate surroundings of its holy shrines, as well as for the preliminary acquisition of the future sites of its international institutions at its world center? What other community can to its eternal credit claim to have been the first to frame its national and local constitutions, thereby laying down the fundamental lines of the twin charters designed to regulate the activities, define the functions, and safeguard the rights, of its institutions? What other community can boast of having simultaneously acquired and legally secured the basis of its national endowments, thus paving the way for a similar action on the part of its local communities? What other community has achieved the supreme distinction of having obtained, long before any of its sister communities had envisaged such a possibility, the necessary documents assuring the recognition, by both the federal and state authorities, of its Spiritual Assemblies and national endowments? And finally what other community has had the privilege, and been granted the means, to succor the needy, to plead the cause of the downtrodden, and to intervene so energetically for the safeguarding of Bahá’í edifices and institutions in countries such as Persia, Egypt, ‘Iráq, Russia, and Germany, where, at various times, its fellow-believers have had to suffer the rigors of both religious and racial persecution?","What other community, it can confidently be asked, has been instrumental in fixing the pattern, and in imparting the original impulse, to those administrative institutions that constitute the vanguard of the World Order of Bahá’u’lláh? What other community has been capable of demonstrating, with such consistency, the resourcefulness, the discipline, the iron determination, the zeal and perseverance, the devotion and fidelity, so indispensable to the erection and the continued extension of the framework within which those nascent institutions can alone multiply and mature? What other community has proved itself to be fired by so noble a vision, or willing to rise to such heights of self-sacrifice, or ready to achieve so great a measure of solidarity, as to be able to raise, in so short a time and in the course of such crucial years, an edifice that can well deserve to be regarded as the greatest contribution ever made by the West to the Cause of Bahá’u’lláh? What other community can justifiably lay claim to have succeeded, through the unsupported efforts of one of its humble members, in securing the spontaneous allegiance of Royalty to its Cause, and in winning such marvelous and written testimonies to its truth? What other community has shown the foresight, the organizing ability, the enthusiastic eagerness, that have been responsible for the establishment and multiplication, throughout its territory, of those initial schools which, as time goes by, will, on the one hand, evolve into powerful centers of Bahá’í learning, and, on the other, provide a fertile recruiting ground for the enrichment and consolidation of its teaching force? What other community has produced pioneers combining to such a degree the essential qualities of audacity, of consecration, of tenacity, of self-renunciation, and unstinted devotion, that have prompted them to abandon their homes, and forsake their all, and scatter over the surface of the globe, and hoist in its uttermost corners the triumphant banner of Bahá’u’lláh? Who else but the members of this community have won the eternal distinction of being the first to raise the call of Yá Bahá’u’l-Abhá in such highly important and widely scattered centers and territories as the hearts of both the British and French empires, Germany, the Far East, the Balkan States, the Scandinavian countries, Latin America, the Islands of the Pacific, South Africa, Australia and New Zealand, and now more recently the Baltic States? Who else but those same pioneers have shown themselves ready to undertake the labor, to exercise the patience, and to provide the funds, required for the translation and publication, in no less than forty languages, of their sacred literature, the dissemination of which is an essential prerequisite to any effectively organized campaign of teaching? What other community can lay claim to have had a decisive share in the worldwide efforts that have been exerted for the safeguarding and the extension of the immediate surroundings of its holy shrines, as well as for the preliminary acquisition of the future sites of its international institutions at its world center? What other community can to its eternal credit claim to have been the first to frame its national and local constitutions, thereby laying down the fundamental lines of the twin charters designed to regulate the activities, define the functions, and safeguard the rights, of its institutions? What other community can boast of having simultaneously acquired and legally secured the basis of its national endowments, thus paving the way for a similar action on the part of its local communities? What other community has achieved the supreme distinction of having obtained, long before any of its sister communities had envisaged such a possibility, the necessary documents assuring the recognition, by both the federal and state authorities, of its Spiritual Assemblies and national endowments? And finally what other community has had the privilege, and been granted the means, to succor the needy, to plead the cause of the downtrodden, and to intervene so energetically for the safeguarding of Bahá’í edifices and institutions in countries such as Persia, Egypt, ‘Iráq, Russia, and Germany, where, at various times, its fellow-believers have had to suffer the rigors of both religious and racial persecution?",P18,The Advent of Divine Justice,42
